,iso2,year,new_sp_m04,new_sp_m514,new_sp_m014,new_sp_m1524,new_sp_m2534,new_sp_m3544,new_sp_m4554,new_sp_m5564,new_sp_m65,new_sp_f04,new_sp_f514,new_sp_f014,new_sp_f1524,new_sp_f2534,new_sp_f3544,new_sp_f4554,new_sp_f5564,new_sp_f65
19,AE,1980,,,,,,,,,,,,,,,,,,
20,AE,1981,,,,,,,,,,,,,,,,,,
21,AE,1982,,,,,,,,,,,,,,,,,,
22,AE,1983,,,,,,,,,,,,,,,,,,
23,AE,1984,,,,,,,,,,,,,,,,,,
24,AE,1985,,,,,,,,,,,,,,,,,,
25,AE,1986,,,,,,,,,,,,,,,,,,
26,AE,1987,,,,,,,,,,,,,,,,,,
27,AE,1988,,,,,,,,,,,,,,,,,,
28,AE,1989,,,,,,,,,,,,,,,,,,
29,AE,1990,,,,,,,,,,,,,,,,,,
30,AE,1991,,,,,,,,,,,,,,,,,,
31,AE,1992,,,,,,,,,,,,,,,,,,
32,AE,1994,,,,,,,,,,,,,,,,,,
33,AE,1996,,,,,,,,,,,,,,,,,,
34,AE,1998,,,,,,,,,,,,,,,,,,
35,AE,1999,,,4.0,9.0,3.0,2.0,4.0,6.0,5.0,,,9.0,11.0,5.0,3.0,0.0,3.0,2.0
36,AE,2000,,,2.0,4.0,4.0,6.0,5.0,12.0,10.0,,,3.0,16.0,1.0,3.0,0.0,0.0,4.0
37,AE,2001,,,,,,,,,,,,,,,,,,
38,AE,2002,,,1.0,2.0,0.0,6.0,6.0,10.0,0.0,,,3.0,3.0,8.0,3.0,4.0,10.0,1.0
39,AE,2003,,,2.0,10.0,8.0,12.0,3.0,2.0,10.0,,,4.0,9.0,5.0,3.0,3.0,2.0,4.0
40,AE,2004,,,1.0,7.0,6.0,7.0,3.0,1.0,7.0,,,3.0,6.0,2.0,7.0,2.0,2.0,3.0
41,AE,2005,,,,,,,,,,,,,,,,,,
42,AE,2006,0.0,0.0,0.0,5.0,3.0,7.0,3.0,1.0,4.0,0.0,2.0,2.0,6.0,4.0,5.0,3.0,4.0,5.0
43,AE,2007,0.0,2.0,2.0,5.0,6.0,3.0,4.0,3.0,10.0,0.0,1.0,1.0,8.0,6.0,3.0,2.0,0.0,0.0
44,AE,2008,0.0,0.0,0.0,6.0,1.0,7.0,5.0,3.0,6.0,0.0,0.0,0.0,10.0,4.0,1.0,1.0,3.0,3.0
45,AF,1980,,,,,,,,,,,,,,,,,,
46,AF,1981,,,,,,,,,,,,,,,,,,
47,AF,1982,,,,,,,,,,,,,,,,,,
48,AF,1983,,,,,,,,,,,,,,,,,,
49,AF,1984,,,,,,,,,,,,,,,,,,
50,AF,1985,,,,,,,,,,,,,,,,,,
51,AF,1986,,,,,,,,,,,,,,,,,,
52,AF,1987,,,,,,,,,,,,,,,,,,
53,AF,1988,,,,,,,,,,,,,,,,,,
54,AF,1989,,,,,,,,,,,,,,,,,,
55,AF,1990,,,,,,,,,,,,,,,,,,
56,AF,1991,,,,,,,,,,,,,,,,,,
57,AF,1997,,,0.0,10.0,6.0,3.0,5.0,2.0,0.0,,,5.0,38.0,36.0,14.0,8.0,0.0,1.0
58,AF,1998,,,30.0,129.0,128.0,90.0,89.0,64.0,41.0,,,45.0,350.0,419.0,194.0,118.0,61.0,20.0
59,AF,1999,,,8.0,55.0,55.0,47.0,34.0,21.0,8.0,,,25.0,139.0,160.0,110.0,50.0,25.0,8.0
60,AF,2000,,,52.0,228.0,183.0,149.0,129.0,94.0,80.0,,,93.0,414.0,565.0,339.0,205.0,99.0,36.0
61,AF,2001,,,129.0,379.0,349.0,274.0,204.0,139.0,103.0,,,146.0,799.0,888.0,586.0,375.0,179.0,89.0
62,AF,2002,,,90.0,476.0,481.0,368.0,246.0,241.0,189.0,,,192.0,1119.0,1251.0,792.0,526.0,320.0,218.0
63,AF,2003,,,127.0,511.0,436.0,284.0,256.0,288.0,203.0,,,245.0,1152.0,1287.0,814.0,462.0,305.0,158.0
64,AF,2004,,,139.0,537.0,568.0,360.0,358.0,386.0,310.0,,,256.0,1360.0,1561.0,1096.0,645.0,413.0,256.0
65,AF,2005,,,151.0,606.0,560.0,472.0,453.0,470.0,419.0,,,320.0,1651.0,1959.0,1302.0,869.0,471.0,246.0
66,AF,2006,,,193.0,837.0,791.0,574.0,572.0,572.0,410.0,,,442.0,2139.0,2340.0,1654.0,1006.0,630.0,309.0
67,AF,2007,,,186.0,856.0,840.0,597.0,566.0,630.0,507.0,,,475.0,2224.0,2357.0,1708.0,1143.0,771.0,353.0
68,AF,2008,,,187.0,941.0,773.0,545.0,570.0,630.0,575.0,,,428.0,2094.0,2449.0,1614.0,1149.0,817.0,364.0
69,AG,1980,,,,,,,,,,,,,,,,,,
70,AG,1981,,,,,,,,,,,,,,,,,,
71,AG,1982,,,,,,,,,,,,,,,,,,
72,AG,1983,,,,,,,,,,,,,,,,,,
73,AG,1984,,,,,,,,,,,,,,,,,,
74,AG,1985,,,,,,,,,,,,,,,,,,
75,AG,1986,,,,,,,,,,,,,,,,,,
76,AG,1987,,,,,,,,,,,,,,,,,,
77,AG,1988,,,,,,,,,,,,,,,,,,
78,AG,1989,,,,,,,,,,,,,,,,,,
79,AG,1990,,,,,,,,,,,,,,,,,,
80,AG,1991,,,,,,,,,,,,,,,,,,
81,AG,1992,,,,,,,,,,,,,,,,,,
82,AG,1995,,,,,,,,,,,,,,,,,,
83,AG,1996,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84,AG,1997,,,,,,,,,,,,,,,,,,
85,AG,1998,,,,,,,,,,,,,,,,,,
86,AG,1999,,,,,,,,,,,,,,,,,,
87,AG,2000,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0
88,AG,2001,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,AG,2002,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,2.0,0.0,1.0,0.0,0.0,0.0,0.0
90,AG,2003,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,AG,2004,,,,,,,,,,,,,,,,,,
92,AG,2005,,,,,,1.0,1.0,,,,,,2.0,2.0,,,,
93,AG,2006,,,,,,,,,,,,,,,,,,
94,AG,2007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,AG,2008,,,,,,,1.0,,,,,,,,,,,
96,AI,1980,,,,,,,,,,,,,,,,,,
97,AI,1981,,,,,,,,,,,,,,,,,,
98,AI,1982,,,,,,,,,,,,,,,,,,
99,AI,1983,,,,,,,,,,,,,,,,,,
100,AI,1984,,,,,,,,,,,,,,,,,,
101,AI,1985,,,,,,,,,,,,,,,,,,
102,AI,1986,,,,,,,,,,,,,,,,,,
103,AI,1987,,,,,,,,,,,,,,,,,,
104,AI,1988,,,,,,,,,,,,,,,,,,
105,AI,1989,,,,,,,,,,,,,,,,,,
106,AI,1990,,,,,,,,,,,,,,,,,,
107,AI,1991,,,,,,,,,,,,,,,,,,
108,AI,1992,,,,,,,,,,,,,,,,,,
109,AI,1995,,,,,,,,,,,,,,,,,,
110,AI,1997,,,,,,,,,,,,,,,,,,
111,AI,2001,,,,,,,,,,,,,,,,,,
112,AI,2002,,,,,,,,,,,,,,,,,,
113,AI,2003,,,,,,,,,,,,,,,1.0,,,
114,AI,2004,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,AI,2006,,,,,,,,,,,,,,,,,,
116,AI,2007,,,,,,,,,,,,,,,,,,
117,AI,2008,,,,,,,,,,,,,,,,,,
118,AL,1980,,,,,,,,,,,,,,,,,,
119,AL,1981,,,,,,,,,,,,,,,,,,
120,AL,1982,,,,,,,,,,,,,,,,,,
121,AL,1983,,,,,,,,,,,,,,,,,,
122,AL,1984,,,,,,,,,,,,,,,,,,
123,AL,1985,,,,,,,,,,,,,,,,,,
124,AL,1986,,,,,,,,,,,,,,,,,,
125,AL,1987,,,,,,,,,,,,,,,,,,
126,AL,1988,,,,,,,,,,,,,,,,,,
127,AL,1989,,,,,,,,,,,,,,,,,,
128,AL,1990,,,,,,,,,,,,,,,,,,
129,AL,1991,,,,,,,,,,,,,,,,,,
130,AL,1994,,,,,,,,,,,,,,,,,,
131,AL,1995,,,0.0,0.0,0.0,0.0,19.0,40.0,30.0,,,0.0,1.0,0.0,0.0,13.0,20.0,16.0
132,AL,1996,,,,,,,,,,,,,,,,,,
133,AL,1997,,,0.0,23.0,43.0,33.0,25.0,21.0,19.0,,,1.0,16.0,19.0,14.0,9.0,10.0,8.0
134,AL,1998,,,1.0,17.0,21.0,24.0,18.0,26.0,24.0,,,2.0,19.0,11.0,12.0,13.0,11.0,13.0
135,AL,1999,,,0.0,13.0,23.0,25.0,19.0,15.0,15.0,,,0.0,5.0,13.0,11.0,5.0,8.0,16.0
136,AL,2000,,,2.0,19.0,21.0,14.0,24.0,19.0,16.0,,,3.0,11.0,10.0,8.0,8.0,5.0,11.0
137,AL,2001,,,3.0,13.0,18.0,17.0,19.0,20.0,30.0,,,1.0,12.0,10.0,5.0,7.0,7.0,9.0
138,AL,2002,,,0.0,21.0,27.0,29.0,19.0,23.0,25.0,,,2.0,20.0,19.0,9.0,6.0,8.0,17.0
139,AL,2003,,,0.0,28.0,19.0,32.0,16.0,22.0,19.0,,,2.0,13.0,8.0,6.0,14.0,12.0,20.0
140,AL,2004,,,5.0,12.0,19.0,21.0,24.0,23.0,20.0,,,2.0,12.0,12.0,8.0,11.0,10.0,22.0
141,AL,2005,0.0,0.0,0.0,26.0,21.0,16.0,31.0,20.0,37.0,0.0,0.0,0.0,3.0,9.0,5.0,5.0,5.0,18.0
142,AL,2006,1.0,4.0,5.0,24.0,19.0,22.0,21.0,19.0,20.0,0.0,2.0,2.0,12.0,8.0,7.0,7.0,7.0,13.0
143,AL,2007,0.0,0.0,0.0,19.0,13.0,16.0,24.0,16.0,19.0,0.0,2.0,2.0,13.0,9.0,7.0,7.0,11.0,9.0
144,AL,2008,1.0,0.0,1.0,23.0,26.0,13.0,19.0,13.0,16.0,0.0,1.0,1.0,20.0,10.0,8.0,5.0,5.0,10.0
145,AM,1980,,,,,,,,,,,,,,,,,,
146,AM,1981,,,,,,,,,,,,,,,,,,
147,AM,1982,,,,,,,,,,,,,,,,,,
148,AM,1983,,,,,,,,,,,,,,,,,,
149,AM,1984,,,,,,,,,,,,,,,,,,
150,AM,1985,,,,,,,,,,,,,,,,,,
151,AM,1986,,,,,,,,,,,,,,,,,,
152,AM,1987,,,,,,,,,,,,,,,,,,
153,AM,1988,,,,,,,,,,,,,,,,,,
154,AM,1989,,,,,,,,,,,,,,,,,,
155,AM,1990,,,,,,,,,,,,,,,,,,
156,AM,1991,,,,,,,,,,,,,,,,,,
157,AM,1992,,,,,,,,,,,,,,,,,,
158,AM,1993,,,,,,,,,,,,,,,,,,
159,AM,1994,,,,,,,,,,,,,,,,,,
160,AM,1995,,,1.0,18.0,16.0,11.0,10.0,8.0,1.0,,,1.0,1.0,7.0,2.0,1.0,1.0,
161,AM,1996,,,2.0,53.0,100.0,51.0,43.0,30.0,7.0,,,0.0,9.0,11.0,9.0,8.0,4.0,0.0
162,AM,1997,,,2.0,85.0,59.0,77.0,51.0,34.0,12.0,,,3.0,16.0,22.0,17.0,7.0,14.0,1.0
163,AM,1998,,,2.0,159.0,90.0,79.0,39.0,17.0,15.0,,,1.0,21.0,20.0,11.0,10.0,5.0,6.0
164,AM,1999,,,4.0,151.0,88.0,115.0,76.0,37.0,20.0,,,6.0,22.0,15.0,20.0,6.0,9.0,7.0
165,AM,2000,,,2.0,152.0,130.0,131.0,63.0,26.0,21.0,,,1.0,24.0,27.0,24.0,8.0,8.0,4.0
166,AM,2001,,,2.0,154.0,120.0,93.0,54.0,24.0,9.0,,,1.0,40.0,31.0,22.0,10.0,7.0,5.0
167,AM,2002,,,1.0,95.0,63.0,109.0,93.0,21.0,14.0,,,2.0,16.0,24.0,32.0,36.0,4.0,1.0
168,AM,2003,,,12.0,120.0,98.0,75.0,104.0,49.0,18.0,,,2.0,29.0,31.0,13.0,12.0,9.0,3.0
169,AM,2004,,,2.0,130.0,72.0,76.0,62.0,25.0,24.0,,,1.0,24.0,17.0,12.0,10.0,3.0,3.0
170,AM,2005,1.0,2.0,3.0,170.0,104.0,83.0,84.0,30.0,24.0,0.0,3.0,3.0,27.0,21.0,10.0,11.0,4.0,7.0
171,AM,2006,0.0,0.0,0.0,113.0,116.0,96.0,98.0,38.0,17.0,0.0,3.0,3.0,28.0,29.0,16.0,15.0,7.0,4.0
172,AM,2007,0.0,1.0,1.0,81.0,87.0,100.0,92.0,29.0,20.0,0.0,2.0,2.0,31.0,22.0,11.0,7.0,7.0,7.0
173,AM,2008,0.0,0.0,0.0,53.0,103.0,74.0,87.0,37.0,15.0,0.0,4.0,4.0,44.0,25.0,10.0,14.0,10.0,11.0
174,AN,1996,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
175,AN,1997,,,0.0,0.0,1.0,1.0,0.0,1.0,3.0,,,0.0,0.0,2.0,2.0,1.0,1.0,1.0
176,AN,1998,,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,0.0,1.0,0.0,2.0,1.0,0.0,0.0
177,AN,1999,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0
178,AN,2000,,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
179,AN,2001,,,0.0,0.0,1.0,5.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
180,AN,2002,,,0.0,1.0,1.0,3.0,2.0,3.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0
181,AN,2003,,,0.0,0.0,2.0,1.0,0.0,0.0,3.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0
182,AN,2004,,,1.0,1.0,0.0,4.0,3.0,0.0,1.0,,,0.0,0.0,,1.0,0.0,0.0,0.0
183,AN,2005,,,,,,,,,,,,,,,,,,
184,AN,2006,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
185,AN,2007,,,,,,,,,,,,,,,,,,
186,AN,2008,,,,,,,,,,,,,,,,,,
187,AO,1980,,,,,,,,,,,,,,,,,,
188,AO,1981,,,,,,,,,,,,,,,,,,
189,AO,1982,,,,,,,,,,,,,,,,,,
190,AO,1983,,,,,,,,,,,,,,,,,,
191,AO,1984,,,,,,,,,,,,,,,,,,
192,AO,1985,,,,,,,,,,,,,,,,,,
193,AO,1986,,,,,,,,,,,,,,,,,,
194,AO,1987,,,,,,,,,,,,,,,,,,
195,AO,1988,,,,,,,,,,,,,,,,,,
196,AO,1989,,,,,,,,,,,,,,,,,,
197,AO,1990,,,,,,,,,,,,,,,,,,
198,AO,1991,,,,,,,,,,,,,,,,,,
199,AO,1992,,,,,,,,,,,,,,,,,,
200,AO,1993,,,,,,,,,,,,,,,,,,
201,AO,1994,,,,,,,,,,,,,,,,,,
202,AO,1995,,,386.0,724.0,562.0,346.0,224.0,155.0,14.0,,,371.0,707.0,443.0,264.0,248.0,130.0,18.0
203,AO,1996,,,360.0,1036.0,926.0,1027.0,469.0,272.0,169.0,,,388.0,1066.0,963.0,615.0,370.0,242.0,113.0
204,AO,1997,,,419.0,913.0,1026.0,819.0,507.0,304.0,193.0,,,431.0,1165.0,1007.0,627.0,411.0,234.0,145.0
205,AO,1998,,,240.0,915.0,950.0,839.0,470.0,219.0,135.0,,,297.0,1084.0,970.0,623.0,319.0,169.0,92.0
206,AO,1999,,,391.0,1134.0,1237.0,973.0,518.0,314.0,234.0,,,459.0,1197.0,1157.0,743.0,474.0,217.0,194.0
207,AO,2000,,,186.0,999.0,1003.0,912.0,482.0,312.0,194.0,,,247.0,1142.0,1091.0,844.0,417.0,200.0,120.0
208,AO,2001,,,230.0,892.0,752.0,648.0,420.0,197.0,173.0,,,279.0,993.0,869.0,647.0,323.0,200.0,182.0
209,AO,2002,,,435.0,2223.0,2292.0,1915.0,1187.0,624.0,444.0,,,640.0,2610.0,2208.0,1600.0,972.0,533.0,305.0
210,AO,2003,,,409.0,2355.0,2598.0,1908.0,1090.0,512.0,361.0,,,591.0,3078.0,2641.0,1747.0,1157.0,395.0,129.0
211,AO,2004,,,554.0,2684.0,2659.0,1998.0,1196.0,561.0,321.0,,,733.0,3198.0,2772.0,1854.0,1029.0,505.0,269.0
212,AO,2005,,,520.0,2549.0,2797.0,1918.0,1255.0,665.0,461.0,,,704.0,2926.0,2682.0,1797.0,1138.0,581.0,417.0
213,AO,2006,,,540.0,2632.0,3049.0,2182.0,1397.0,729.0,428.0,,,689.0,2851.0,2892.0,1990.0,1223.0,583.0,314.0
214,AO,2007,,,484.0,2824.0,3197.0,2255.0,1357.0,699.0,465.0,,,703.0,2943.0,2721.0,1812.0,1041.0,554.0,367.0
215,AO,2008,,,367.0,2970.0,3493.0,2418.0,1480.0,733.0,420.0,,,512.0,3199.0,2786.0,2082.0,1209.0,556.0,337.0
216,AR,1980,,,,,,,,,,,,,,,,,,
217,AR,1981,,,,,,,,,,,,,,,,,,
218,AR,1982,,,,,,,,,,,,,,,,,,
219,AR,1983,,,,,,,,,,,,,,,,,,
220,AR,1984,,,,,,,,,,,,,,,,,,
221,AR,1985,,,,,,,,,,,,,,,,,,
222,AR,1986,,,,,,,,,,,,,,,,,,
223,AR,1987,,,,,,,,,,,,,,,,,,
224,AR,1988,,,,,,,,,,,,,,,,,,
225,AR,1989,,,,,,,,,,,,,,,,,,
226,AR,1990,,,,,,,,,,,,,,,,,,
227,AR,1991,,,,,,,,,,,,,,,,,,
228,AR,1992,,,,,,,,,,,,,,,,,,
229,AR,1993,,,,,,,,,,,,,,,,,,
230,AR,1994,,,,,,,,,,,,,,,,,,
231,AR,1995,,,,,,,,,,,,,,,,,,
232,AR,1996,,,113.0,611.0,535.0,338.0,276.0,230.0,286.0,,,107.0,643.0,591.0,528.0,546.0,520.0,463.0
233,AR,1997,,,96.0,580.0,600.0,523.0,489.0,417.0,393.0,,,133.0,566.0,511.0,336.0,240.0,199.0,234.0
234,AR,1998,,,84.0,578.0,571.0,463.0,476.0,387.0,370.0,,,94.0,558.0,498.0,271.0,229.0,207.0,276.0
235,AR,1999,,,90.0,490.0,546.0,435.0,464.0,384.0,380.0,,,108.0,502.0,442.0,292.0,210.0,177.0,249.0
236,AR,2000,,,97.0,278.0,594.0,402.0,419.0,368.0,330.0,,,121.0,544.0,479.0,262.0,230.0,179.0,216.0
237,AR,2001,,,78.0,682.0,611.0,495.0,471.0,404.0,436.0,,,85.0,674.0,561.0,303.0,242.0,215.0,249.0
238,AR,2002,,,70.0,612.0,658.0,463.0,477.0,389.0,399.0,,,117.0,622.0,580.0,301.0,237.0,203.0,255.0
239,AR,2003,,,89.0,574.0,565.0,413.0,461.0,366.0,405.0,,,99.0,516.0,513.0,294.0,241.0,192.0,231.0
240,AR,2004,,,64.0,588.0,543.0,399.0,387.0,332.0,345.0,,,98.0,519.0,477.0,271.0,237.0,169.0,237.0
241,AR,2005,,,64.0,621.0,530.0,358.0,384.0,340.0,348.0,,,90.0,530.0,474.0,290.0,198.0,169.0,240.0
242,AR,2006,19.0,48.0,67.0,519.0,484.0,360.0,351.0,346.0,321.0,18.0,56.0,74.0,438.0,437.0,235.0,197.0,173.0,213.0
243,AR,2007,14.0,63.0,77.0,656.0,623.0,401.0,415.0,389.0,324.0,14.0,56.0,70.0,558.0,500.0,246.0,217.0,172.0,246.0
244,AR,2008,11.0,58.0,69.0,633.0,611.0,390.0,416.0,364.0,295.0,5.0,61.0,66.0,536.0,506.0,252.0,221.0,157.0,204.0
245,AS,1980,,,,,,,,,,,,,,,,,,
246,AS,1981,,,,,,,,,,,,,,,,,,
247,AS,1982,,,,,,,,,,,,,,,,,,
248,AS,1983,,,,,,,,,,,,,,,,,,
249,AS,1984,,,,,,,,,,,,,,,,,,
250,AS,1985,,,,,,,,,,,,,,,,,,
251,AS,1986,,,,,,,,,,,,,,,,,,
252,AS,1987,,,,,,,,,,,,,,,,,,
253,AS,1988,,,,,,,,,,,,,,,,,,
254,AS,1989,,,,,,,,,,,,,,,,,,
255,AS,1990,,,,,,,,,,,,,,,,,,
256,AS,1991,,,,,,,,,,,,,,,,,,
257,AS,1992,,,,,,,,,,,,,,,,,,
258,AS,1993,,,,,,,,,,,,,,,,,,
259,AS,1994,,,,,,,,,,,,,,,,,,
260,AS,1995,,,,,,,,,,,,,,,,,,
261,AS,1996,,,,,,,,,,,,,,,,,,
262,AS,1997,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
263,AS,1998,,,,,,,,,,,,,,,,,,
264,AS,1999,,,,,,,,,,,,,,,,,,
265,AS,2000,,,,,,,1.0,1.0,,,,,,,,1.0,,
266,AS,2001,,,,,,,,,,,,,,,1.0,,1.0,
267,AS,2002,,,,,,,,1.0,,,,,,,,,,
268,AS,2003,,,,,,,,1.0,,,,,,,,1.0,,
269,AS,2004,,,,,,,,2.0,,,,,,,,1.0,,
270,AS,2005,,,,,,,,,,,,,,1.0,,2.0,,
271,AS,2006,,,,,,,,,,,,,,1.0,,2.0,,
272,AS,2007,,,,,,,,,,,,,,,,,,
273,AS,2008,,,,,,,,,,,,,,,,,,
274,AT,1980,,,,,,,,,,,,,,,,,,
275,AT,1981,,,,,,,,,,,,,,,,,,
276,AT,1982,,,,,,,,,,,,,,,,,,
277,AT,1983,,,,,,,,,,,,,,,,,,
278,AT,1984,,,,,,,,,,,,,,,,,,
279,AT,1985,,,,,,,,,,,,,,,,,,
280,AT,1986,,,,,,,,,,,,,,,,,,
281,AT,1987,,,,,,,,,,,,,,,,,,
282,AT,1988,,,,,,,,,,,,,,,,,,
283,AT,1989,,,,,,,,,,,,,,,,,,
284,AT,1990,,,,,,,,,,,,,,,,,,
285,AT,1991,,,,,,,,,,,,,,,,,,
286,AT,1992,,,,,,,,,,,,,,,,,,
287,AT,1993,,,,,,,,,,,,,,,,,,
288,AT,1994,,,,,,,,,,,,,,,,,,
289,AT,1995,,,4.0,37.0,95.0,82.0,89.0,71.0,73.0,,,6.0,22.0,52.0,32.0,21.0,18.0,59.0
290,AT,1996,,,,,,,,,,,,,,,,,,
291,AT,1997,,,24.0,59.0,117.0,170.0,168.0,122.0,185.0,,,33.0,41.0,93.0,62.0,52.0,52.0,172.0
292,AT,1998,,,,,,,,,,,,,,,,,,
293,AT,1999,,,0.0,13.0,40.0,54.0,52.0,37.0,49.0,,,0.0,10.0,16.0,18.0,6.0,2.0,26.0
294,AT,2000,,,1.0,17.0,30.0,59.0,42.0,23.0,41.0,,,1.0,11.0,22.0,12.0,11.0,6.0,22.0
295,AT,2001,,,1.0,15.0,27.0,39.0,37.0,37.0,27.0,,,1.0,8.0,13.0,15.0,4.0,6.0,18.0
296,AT,2002,,,1.0,8.0,14.0,32.0,43.0,20.0,25.0,,,0.0,8.0,13.0,7.0,5.0,7.0,21.0
297,AT,2003,,,0.0,19.0,31.0,37.0,43.0,19.0,28.0,,,2.0,10.0,25.0,12.0,7.0,4.0,12.0
298,AT,2004,,,1.0,19.0,19.0,38.0,27.0,24.0,21.0,,,0.0,12.0,15.0,9.0,3.0,3.0,16.0
299,AT,2005,1.0,0.0,1.0,32.0,23.0,22.0,41.0,24.0,30.0,0.0,0.0,0.0,13.0,11.0,8.0,3.0,5.0,10.0
300,AT,2006,0.0,1.0,1.0,9.0,25.0,36.0,39.0,19.0,19.0,1.0,1.0,2.0,12.0,12.0,16.0,5.0,3.0,15.0
301,AT,2007,,1.0,1.0,12.0,15.0,27.0,26.0,18.0,25.0,1.0,1.0,2.0,10.0,14.0,7.0,11.0,2.0,19.0
302,AT,2008,,,,,,,,,,,,,,,,,,
303,AU,1980,,,,,,,,,,,,,,,,,,
304,AU,1981,,,,,,,,,,,,,,,,,,
305,AU,1982,,,,,,,,,,,,,,,,,,
306,AU,1983,,,,,,,,,,,,,,,,,,
307,AU,1984,,,,,,,,,,,,,,,,,,
308,AU,1985,,,,,,,,,,,,,,,,,,
309,AU,1986,,,,,,,,,,,,,,,,,,
310,AU,1987,,,,,,,,,,,,,,,,,,
311,AU,1988,,,,,,,,,,,,,,,,,,
312,AU,1989,,,,,,,,,,,,,,,,,,
313,AU,1990,,,,,,,,,,,,,,,,,,
314,AU,1991,,,,,,,,,,,,,,,,,,
315,AU,1992,,,,,,,,,,,,,,,,,,
316,AU,1993,,,,,,,,,,,,,,,,,,
317,AU,1994,,,,,,,,,,,,,,,,,,
318,AU,1995,,,,,,,,,,,,,,,,,,
319,AU,1996,,,,,,,,,,,,,,,,,,
320,AU,1997,,,1.0,8.0,24.0,18.0,13.0,17.0,28.0,,,0.0,10.0,15.0,9.0,5.0,10.0,12.0
321,AU,1998,,,0.0,11.0,22.0,18.0,13.0,15.0,31.0,,,2.0,19.0,24.0,15.0,8.0,2.0,24.0
322,AU,1999,,,0.0,13.0,40.0,54.0,52.0,37.0,49.0,,,0.0,10.0,16.0,18.0,6.0,2.0,26.0
